judul,sampul
Bumi Manusia,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488354806i/3187852.jpg
Laskar Pelangi,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489732961i/1362193.jpg
Anak Semua Bangsa,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464929002i/1398044.jpg
Ronggeng Dukuh Paruk,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464425991i/1334844.jpg
Negeri 5 Menara,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1249749162i/6688121.jpg
Jejak Langkah,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360760182i/1398066.jpg
Daun Yang Jatuh Tak Pernah Membenci Angin,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485759293i/8343444.jpg
Cantik itu Luka,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1502464714i/1353409.jpg
Rumah Kaca,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360646538i/1353452.jpg
Sang Pemimpi,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489733383i/1407874.jpg
Negeri Para Bedebah,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1340606900i/15721334.jpg
Perahu Kertas,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356225544i/6765740.jpg
Antologi Rasa,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312549657i/12290008.jpg
Ca-bau-kan: Hanya sebuah dosa,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1581518812i/1096114.jpg
Lalita,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1346646534i/15982998.jpg
Dilan Bagian Kedua: Dia Adalah Dilanku Tahun 1991,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436161520i/25857857.jpg
Katak Hendak Jadi Lembu,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1237252067i/6056022.jpg
Refain,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486442776i/6788533.jpg
"Kau, Aku & Sepucuk Angpau Merah",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326688274i/13414402.jpg
Aki,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392083221i/3250365.jpg
Maya,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387980025i/20317634.jpg
Rindu,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1412067973i/23288914.jpg
Karmila,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1277969339i/1761041.jpg
Autumn in Paris,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409579772i/1667423.jpg
Kura-Kura Berjanggut,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523718096i/38751629.jpg
Separuh Bintang,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1491634214i/6496886.jpg
"Jangan Pergi, Lara",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1496473216i/5637839.jpg
Bintang,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1496315625i/35278713.jpg
Janshen,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1508735597i/36461208.jpg
Anak Gembala Yang Tertidur Panjang di Akhir Zaman,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1571370071i/48497661.jpg
Rapijali 3: Kembali,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638144317i/57304990.jpg
Perempuan yang Menangis kepada Bulan Hitam,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604022613i/55817473.jpg
Dead Smokers Club Part 1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1370516953i/18042991.jpg
Geni Jora,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1235574085i/1489158.jpg
Siege of Krog Naum,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1492577124i/6595231.jpg
Cinta Tak Pernah Tepat Waktu,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1228961334i/2040440.jpg
The Truth about Forever: Kebencian Membuatmu Kesepian,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488354806i/3187852.jpg
Jejak Kupu-kupu,https://ebooks.gramedia.com/ebook-covers/45384/image_highres/ID_JKK2018MTH12JKK.jpg
The Chronicles of Audy: 4/4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433410933i/25661516.jpg
Pergi,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522123452i/39643727.jpg
Tiba Sebelum Berangkat,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523921756i/39834891.jpg
Catatan Juang,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514363101i/37733232.jpg
Meredam Dendam,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1261900400i/7156832.jpg
Kalatidha,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1223526947i/2040560.jpg
Valharald,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1272950217i/8133199.jpg
Tembang Tanah Air,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362369218i/982516.jpg
Kita Pergi Hari Ini,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634170562i/59345269.jpg
Kremil,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1227539416i/1494713.jpg
Revelation,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1302859993i/11045775.jpg
Selena,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1584353767i/52416700.jpg
